Platform,Account,Handle_or_URL,Followers,Posts_Total,Avg_Likes_Last5,Avg_Comments_Last5,Recent_Posts_JSON,Extra,Collected_At
Instagram,BBC Türkçe,bbcturkce,1357857.0,6866.0,4001.0,254.0,"[{""shortcode"": ""DOxXZQ7DRvE"", ""likes"": 8014, ""comments"": 180}, {""shortcode"": ""DOv43JjDYDT"", ""likes"": 2070, ""comments"": 553}, {""shortcode"": ""DOvb1ZLDz-w"", ""likes"": 1526, ""comments"": 71}, {""shortcode"": ""DOuynq5iDJS"", ""likes"": 2238, ""comments"": 201}, {""shortcode"": ""DOtRB7VD2xg"", ""likes"": 6156, ""comments"": 267}]",,2025-09-19 10:36:48
Instagram,BBC_archive,bbc_archive,594826.0,3059.0,6583.0,173.0,"[{""shortcode"": ""DOxlKCYiLAI"", ""likes"": 1209, ""comments"": 13}, {""shortcode"": ""DOvAbdoiQuD"", ""likes"": 748, ""comments"": 14}, {""shortcode"": ""DOtnJK7AW2G"", ""likes"": 3358, ""comments"": 86}, {""shortcode"": ""DOsbpwPDgkz"", ""likes"": 2543, ""comments"": 47}, {""shortcode"": ""DOqth0Wka22"", ""likes"": 25057, ""comments"": 704}]",,2025-09-19 10:36:50
Instagram,DiasporaTürk,diasporaturk,113122.0,1981.0,2415.0,52.0,"[{""shortcode"": ""C3GKbYYoOih"", ""likes"": 1335, ""comments"": 31}, {""shortcode"": ""CpumJRVok_c"", ""likes"": 1907, ""comments"": 31}, {""shortcode"": ""CjaUW5jIuBn"", ""likes"": 3421, ""comments"": 77}, {""shortcode"": ""DOlE1ogDYUl"", ""likes"": 2583, ""comments"": 56}, {""shortcode"": ""DOiiWOmDe3_"", ""likes"": 2829, ""comments"": 65}]",,2025-09-19 10:36:53
Instagram,Tarih Dergi,tarihdergi,87187.0,5997.0,200.0,16.0,"[{""shortcode"": ""DHuwGz_CSrd"", ""likes"": 365, ""comments"": 55}, {""shortcode"": ""DHthr76CuXx"", ""likes"": 149, ""comments"": 2}, {""shortcode"": ""DHso9Uaihu1"", ""likes"": 183, ""comments"": 2}, {""shortcode"": ""DHqGdR_iDGh"", ""likes"": 230, ""comments"": 3}, {""shortcode"": ""DHnqBMpiDVe"", ""likes"": 73, ""comments"": null}]",,2025-09-19 10:36:55
Instagram,Derin Tarih,derintarih,572418.0,4754.0,922.0,8.0,"[{""shortcode"": ""DOD24CPjdZk"", ""likes"": 321, ""comments"": 3}, {""shortcode"": ""DOwONOCDSNN"", ""likes"": 410, ""comments"": 4}, {""shortcode"": ""DOvtN39DW_K"", ""likes"": 382, ""comments"": 3}, {""shortcode"": ""DOvV2ZQjUYG"", ""likes"": 1293, ""comments"": 14}, {""shortcode"": ""DOt5zSTjd7a"", ""likes"": 2203, ""comments"": 14}]",,2025-09-19 10:36:58
Instagram,Atlas Tarih Dergisi,atlastarihdergisi,15421.0,304.0,60.0,2.0,"[{""shortcode"": ""DOREtlEjCkq"", ""likes"": 108, ""comments"": 4}, {""shortcode"": ""DOq7flsCGi-"", ""likes"": 32, ""comments"": null}, {""shortcode"": ""DOlx0Fhjt1n"", ""likes"": 72, ""comments"": null}, {""shortcode"": ""DOgoT4cARg2"", ""likes"": 32, ""comments"": null}, {""shortcode"": ""DObm_xujsUK"", ""likes"": 58, ""comments"": 1}]",,2025-09-19 10:37:00
Instagram,Arsivden.sahne,arsivden.sahne,8376.0,74.0,74.0,3.0,"[{""shortcode"": ""CYjnFg5pbrK"", ""likes"": 31, ""comments"": null}, {""shortcode"": ""CYOeT2UJ3sK"", ""likes"": 52, ""comments"": 1}, {""shortcode"": ""CX9mHm2JGtN"", ""likes"": 63, ""comments"": null}, {""shortcode"": ""CXlhQX5IxBL"", ""likes"": 136, ""comments"": null}, {""shortcode"": ""CXbJGoNIPwS"", ""likes"": 88, ""comments"": 5}]",,2025-09-19 10:37:02
Instagram,32 Gün Arşivi,32gunarsivi,164628.0,2312.0,2590.0,24.0,"[{""shortcode"": ""C2Mfqsxs-JY"", ""likes"": 8950, ""comments"": 67}, {""shortcode"": ""C2M2s0nBjoZ"", ""likes"": 1805, ""comments"": 17}, {""shortcode"": ""C0oGGEEC5v6"", ""likes"": 1747, ""comments"": 24}, {""shortcode"": ""DOtgL-6Ab-X"", ""likes"": 300, ""comments"": 5}, {""shortcode"": ""DOslHbNEw6K"", ""likes"": 147, ""comments"": 6}]",,2025-09-19 10:37:05
Instagram,Pathe Films,pathefilms,135460.0,4128.0,1237.0,11.0,"[{""shortcode"": ""DOtc1L-CCFj"", ""likes"": 149, ""comments"": null}, {""shortcode"": ""DOtCrgPjIda"", ""likes"": 4491, ""comments"": 28}, {""shortcode"": ""DOsiYLlCSc3"", ""likes"": 300, ""comments"": 4}, {""shortcode"": ""DOdFyzfAe0l"", ""likes"": 218, ""comments"": 5}, {""shortcode"": ""DOVYA2GjBvt"", ""likes"": 1025, ""comments"": 6}]",,2025-09-19 10:37:08
Instagram,Arsiv.unutmaz,arsiv.unutmaz,606.0,35.0,42.0,2.0,"[{""shortcode"": ""BY5eamdl0qJ"", ""likes"": 50, ""comments"": 2}, {""shortcode"": ""BYQQhfPl5fZ"", ""likes"": 28, ""comments"": null}, {""shortcode"": ""BYL4tSoFeeb"", ""likes"": 54, ""comments"": 4}, {""shortcode"": ""BYL4kw4lCSj"", ""likes"": 45, ""comments"": 1}, {""shortcode"": ""BYJVIfwFX1z"", ""likes"": 32, ""comments"": null}]",,2025-09-19 10:37:10
TikTok,rotasizseyyah,rotasizseyyah,4448.0,,,,,likes_total=49900,2025-09-19 10:37:14
TikTok,natgeo,natgeo,9200000.0,,,,,likes_total=42500000,2025-09-19 10:37:18
TikTok,dmaxtr,dmaxtr,190000.0,,,,,likes_total=1500000,2025-09-19 10:37:22
TikTok,animalplanet,animalplanet,1700000.0,,,,,likes_total=28000000,2025-09-19 10:37:25
TikTok,natgeowild,natgeowild,1.0,,,,,likes_total=0,2025-09-19 10:37:29
TikTok,bbcearth,bbcearth,531700.0,,,,,likes_total=9200000,2025-09-19 10:37:34
TikTok,discovery,discovery,7000000.0,,,,,likes_total=91100000,2025-09-19 10:37:37
TikTok,tac_turkiye,tac_turkiye,,,,,,,2025-09-19 10:38:11
Facebook,BBC Archive,https://mbasic.facebook.com/BBCArchive/,3200000.0,,,,,,2025-09-19 10:38:21
Facebook,BBC Türkçe,https://mbasic.facebook.com/bbcnewsturkceservisi/,1600000.0,,,,,,2025-09-19 10:38:29
Facebook,32.Gün Arşivi,https://mbasic.facebook.com/32gunarsivi/,260000.0,,,,,,2025-09-19 10:38:37
Facebook,Tarih Arşivi,https://mbasic.facebook.com/tariharsivi/,118000.0,,,,,,2025-09-19 10:38:45
